Year,Region,Avg_Malnutrition
2012,Africa,8.849654919148938
2012,Americas,3.121409956261261
2012,Eastern Mediterranean,6.991809717992425
2012,Europe,2.2960458565705126
2012,South-East Asia,15.115463814166667
2012,Unknown,9.103365800757576
2012,Western Pacific,3.647169746129032
2013,Africa,8.749856673404256
2013,Americas,3.1160261932882882
2013,Eastern Mediterranean,6.92276473719697
2013,Europe,2.310984742548077
2013,South-East Asia,14.7961960225
2013,Unknown,8.945604042424243
2013,Western Pacific,3.59635751889785
2014,Africa,8.662762259929078
2014,Americas,3.116323983153153
2014,Eastern Mediterranean,6.854234335681818
2014,Europe,2.3303652644871797
2014,South-East Asia,14.485098538333334
2014,Unknown,8.789818140151516
2014,Western Pacific,3.5489940959677417
2015,Africa,8.58771919468085
2015,Americas,3.121800366621622
2015,Eastern Mediterranean,6.7861499990909095
2015,Europe,2.3535816905769233
2015,South-East Asia,14.181647953333334
2015,Unknown,8.63542206060606
2015,Western Pacific,3.5046237625537633
2016,Africa,8.523124645390071
2016,Americas,3.1325667570495495
2016,Eastern Mediterranean,6.719267292651515
2016,Europe,2.380091528653846
2016,South-East Asia,13.882928922500001
2016,Unknown,8.48364864090909
2016,Western Pacific,3.4624415859946236
2017,Africa,8.466464689716313
2017,Americas,3.14818817990991
2017,Eastern Mediterranean,6.653714095719697
2017,Europe,2.4092743630929485
2017,South-East Asia,13.590183263333333
2017,Unknown,8.335618896212122
2017,Western Pacific,3.422235420645161
2018,Africa,8.414721998758864
2018,Americas,3.169402482837838
2018,Eastern Mediterranean,6.587673829204546
2018,Europe,2.4414394808173077
2018,South-East Asia,13.303944938333332
2018,Unknown,8.190438706060606
2018,Western Pacific,3.3840138035483873
2019,Africa,8.369700256560284
2019,Americas,3.196125910765766
2019,Eastern Mediterranean,6.524803318181818
2019,Europe,2.4776036214102564
2019,South-East Asia,13.024191937500001
2019,Unknown,8.048734298484847
2019,Western Pacific,3.349042697795699
2020,Africa,8.331319951950356
2020,Americas,3.2279856429504505
2020,Eastern Mediterranean,6.464414554242424
2020,Europe,2.5182999664102566
2020,South-East Asia,12.75327291
2020,Unknown,7.913266475757575
2020,Western Pacific,3.3172478419623657
2021,Africa,8.298625897695036
2021,Americas,3.265124858738739
2021,Eastern Mediterranean,6.408595338901516
2021,Europe,2.5632122800320514
2021,South-East Asia,12.49291703
2021,Unknown,7.785571891666667
2021,Western Pacific,3.288444744811828
2022,Africa,8.270095564361704
2022,Americas,3.307314160855856
2022,Eastern Mediterranean,6.361409814280303
2022,Europe,2.6134526578846153
2022,South-East Asia,12.243925831666667
2022,Unknown,7.664705662878788
2022,Western Pacific,3.2639300038709673
