Region,age_group,Avg_Malnutrition
Africa,Adult,11.162220542230818
Africa,Child/Adolescent,7.615507825510423
Americas,Adult,3.5629221681081082
Americas,Child/Adolescent,3.045361518804259
Eastern Mediterranean,Adult,6.115903387396695
Eastern Mediterranean,Child/Adolescent,6.843163965794306
Europe,Adult,2.0687310701515154
Europe,Child/Adolescent,2.546101940553613
South-East Asia,Adult,13.436592602121213
South-East Asia,Child/Adolescent,13.687168667373738
Unknown,Adult,8.243195916253443
Unknown,Child/Adolescent,8.391200708631773
Western Pacific,Adult,3.9971786881915934
Western Pacific,Child/Adolescent,3.2475466460182467
