Year,Avg_Obesity,Avg_Malnutrition
2012,11.06196931990873,5.56663843809127
2013,11.35963737698016,5.508852149571429
2014,11.670343478468254,5.457065545865079
2015,11.99423078179365,5.410763916400794
2016,12.333907158349207,5.369359912920635
2017,12.689996901126984,5.332160564722223
2018,13.060296467638889,5.298486695769841
2019,13.444603940603173,5.269580725523809
2020,13.843001619281745,5.245664611484127
2021,14.250922928178573,5.226825815142857
2022,14.662532570214287,5.213564382519841
